Trans. Date,Post Date,Description,Amount,Category
01/24/2023,01/24/2023,"INTERNET PAYMENT - THANK YOU",-345.68,"Payments and Credits"
01/26/2023,01/26/2023,"NIKE.COM 8008066453 CA",129.30,"Merchandise"
02/02/2023,02/02/2023,"AMAZON WEB SERVICES AWS.AMAZON.COWA34C4T3XHF94",10.56,"Services"
02/02/2023,02/02/2023,"SUSHIMONO ELK GROVE CA",46.87,"Restaurants"
02/05/2023,02/05/2023,"KABOB & GYRO ELK GROVE CA",15.09,"Restaurants"
02/07/2023,02/07/2023,"APPLE.COM/BILL 111-111-1111 CA",0.99,"Merchandise"
02/11/2023,02/11/2023,"NIKE.COM 8008066453 CA",226.28,"Merchandise"
02/12/2023,02/12/2023,"APPLE.COM/BILL 111-111-1111 CA",0.99,"Merchandise"
02/14/2023,02/14/2023,"MCDONALDS 35050 STOCKTON CA",1.39,"Restaurants"
02/16/2023,02/16/2023,"WALMART STORE 05848 ELK GROVE CA",15.43,"Merchandise"
02/17/2023,02/17/2023,"WALMART STORE 05848 ELK GROVE CA",20.00,"Merchandise"
02/20/2023,02/20/2023,"CHIPOTLE ONLINE 949-524-4000 CA",10.51,"Restaurants"
02/21/2023,02/21/2023,"INTERNET PAYMENT - THANK YOU",-466.90,"Payments and Credits"
02/23/2023,02/23/2023,"NIKE.COM 8008066453 CA",-226.28,"Payments and Credits"
02/25/2023,02/25/2023,"POPEYES 12967 ELK GROVE CA",30.66,"Restaurants"
02/26/2023,02/26/2023,"APPLE.COM/BILL 866-712-7753 CAMLDYGDV58MA0",4.99,"Merchandise"
02/26/2023,02/26/2023,"APPLE.COM/BILL 866-712-7753 CAMLDYGDV48HA0",19.99,"Merchandise"
03/01/2023,03/01/2023,"TACO BELL #731814 818-991-4174 CA",6.45,"Restaurants"
03/02/2023,03/02/2023,"AMAZON WEB SERVICES AWS.AMAZON.COWA5GTE702435E",3.08,"Services"
03/09/2023,03/09/2023,"MIKUNI JAPANESE RESTAURA ELK GROVE CA",101.86,"Restaurants"
03/12/2023,03/12/2023,"APPLE.COM/BILL 866-712-7753 CAMLDYHL64MQA0",0.99,"Merchandise"
03/12/2023,03/12/2023,"IN N OUT BURGER 388 ELK GROVE CA",23.71,"Restaurants"
03/12/2023,03/12/2023,"MCDONALDS 35050 STOCKTON CA",18.91,"Restaurants"
03/16/2023,03/16/2023,"HUCKLEBERRYS ELK GROVE CA",54.54,"Restaurants"
03/17/2023,03/17/2023,"NIKE INC 800-806-6453 OR",96.98,"Merchandise"
03/17/2023,03/19/2023,"NIKE.COM 8008066453 CA",-129.30,"Payments and Credits"
03/19/2023,03/20/2023,"STARBUCKS STORE 07593 ROCKVILLE MDD18113609AAD733623",4.72,"Restaurants"
03/21/2023,03/21/2023,"DUNKIN #353616 ROCKVILLE MD",2.00,"Restaurants"
03/21/2023,03/21/2023,"INTERNET PAYMENT - THANK YOU",-17.09,"Payments and Credits"
03/23/2023,03/23/2023,"APPLE.COM/BILL 866-712-7753 CAMLDYJ4JLQWA0",0.99,"Merchandise"
03/24/2023,03/24/2023,"WALMART STORE 05848 ELK GROVE CA",7.56,"Merchandise"
03/29/2023,03/29/2023,"CHIPOTLE ONLINE 949-524-4000 CA",32.70,"Restaurants"
03/29/2023,03/29/2023,"WALMART STORE 05848 ELK GROVE CA",2.26,"Merchandise"
04/01/2023,04/01/2023,"WWW COSTCO COM 800-955-2292 WA008471021533834",250.00,"Warehouse Clubs"
04/01/2023,04/01/2023,"WWW COSTCO COM 800-955-2292 WA008471021533834",500.00,"Warehouse Clubs"
04/02/2023,04/02/2023,"AMAZON WEB SERVICES AWS.AMAZON.COWA4TDYOV7WAB9",18.68,"Services"
04/02/2023,04/02/2023,"MCDONALD'S F35050 ELK GROVE CA",1.40,"Restaurants"
04/03/2023,04/03/2023,"H&R BLOCK TAX SOFTWARE 800-472-5625 MO",19.95,"Services"
04/03/2023,04/03/2023,"UCSC ADM/STUDENT BUSINES 831-459-4544 CA",412.00,"Education"
04/07/2023,04/07/2023,"ACT*FRHS ONLINEOJJ 877-228-4881 TXVTTRB40Y46643328",80.00,"Education"
04/09/2023,04/09/2023,"SMASHBURGER #1158 ELK GROVE CA",74.56,"Restaurants"
