Order Date,Product Name,Total Owed
2024-12-23T02:20:50Z,"TAURI for iPhone 15 Case, Compatible with Magsafe [Yellowing Resistant] with 2X Screen Protector + 2X Camera Lens Protector, Military-Grade Protection, Slim Magnetic Phone Case, Clear",15.21
2024-12-19T07:55:01Z,E-Z Ink Compatible Toner Cartridge Replacement for Brother TN660 TN-660 TN630 High Yield to use with HL-L2300D HL-L2380DW HL-L2320D DCP-L2540DW HL-L2340DW HL-L2360DW MFC-L2720DW Printer (3 Black),28.26
2024-12-17T05:06:39Z,"Nacome Solar Garden Outdoor Statues Turtle with Succulent and 7 LED Lights - Lawn Decor Tortoise Statue for Patio, Balcony, Yard Ornament - Unique Housewarming Gifts",29.91
2024-12-15T06:26:12Z,"GE RG6 Coaxial Cable, 50 ft. F-Type Connectors, Quad Shielded Coax Cable, 3 GHz Digital, In-Wall Rated, Ideal for TV Antenna, DVR, VCR, Satellite, Cable Box, Home Theater, Black, 33532",16.75
2024-12-08T00:43:52Z,"Soundcore P40i by Anker, Noise Cancelling Wireless Earbuds, Adaptive Noise Cancelling to Environments, Heavy Bass, 60H Playtime, 2-in-1 Case and Phone Stand, IPX5, Wireless Charging, Bluetooth 5.3",45.66
2024-12-03T21:11:26Z,KSIPZE 100ft Led Strip Lights RGB Music Sync Color Changing Bluetooth Smart App Control Remote Led Lights for Bedroom Room Lighting Home Décor,10.77
2024-12-03T21:11:26Z,"Fikwot FN501 Pro 1TB NVMe SSD - M.2 2280 PCIe Gen3 x4 Internal Solid State Drive with Graphene Cooling Sticker, Up to 3,500MB/s, SLC Cache 3D NAND TLC, Compatible with Laptop & PC Desktop",61.98
2024-12-03T21:11:26Z,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - Up to 140MB/s, C10, U1, Full HD, SD Card - SDSDUNB-128G-GN6IN",17.17
2024-12-03T21:09:54Z,"LEGO Icons Plum Blossom Building Set for Adults Ages 18+ - Artificial Flowers for Dinner Table Centerpieces & Christmas Decorations - Gift Idea for Mom, Dad, & Significant Other - 10369",26.09
2024-11-30T06:32:54Z,Swarovski Attract Square Stud Pierced Earrings with Clear Crystals on a Rhodium Plated Setting with Butterfly Back Closure,46.18
2024-11-20T09:12:31Z,"COSRX Acne Pimple Patch Absorbing Hydrocolloid Original 3 Size Patches for Blemishes and Zits Cover, Spot Stickers for Face and Body, Not Tested on Animals (72)",13.69
2024-11-12T00:09:48Z,Dwenarry Black Sunglasses Bulk Party Sunglasses Retro Plastic Adult Black Shades Party Favor 12 Pack,10.94
2024-11-11T09:26:05Z,"LANEIGE Water Bank Hydration Set: Hyaluronic Acid, Barrier-Boosting Hydration, Full Sized, Travel Sized",47.09
2024-11-10T10:06:05Z,MILACOLATO G23 Titanium Hoop Earrings Implant Grade Hypollergenic Small Huggie Hoop Earrings Hinged Sleeper Cartilage Earrings for Women Men Silver 12mm,10.94
2024-11-05T23:38:19Z,"Champion Men's Double Dry Moisture Wicking Socks 6, 8, 12 Packs Availabe, Black Crew C-6 Pack, 6-12",13.14
2024-10-31T06:01:21Z,DLGJPA Men's Lightweight Quick Drying Water Shoes for Beach or Water Sports Slip On Walking Shoes AllBlack 8,32.84
