```csv
Order Date,Product Name,Total Owed
2024-12-19T07:55:01Z,E-Z Ink Compatible Toner Cartridge Replacement for Brother TN660 TN-660 TN630 High Yield to use with HL-L2300D HL-L2380DW HL-L2320D DCP-L2540DW HL-L2340DW HL-L2360DW MFC-L2720DW Printer (3 Black),28.26
2024-12-08T00:43:52Z,"Soundcore P40i by Anker, Noise Cancelling Wireless Earbuds, Adaptive Noise Cancelling to Environments, Heavy Bass, 60H Playtime, 2-in-1 Case and Phone Stand, IPX5, Wireless Charging, Bluetooth 5.3",45.66
2024-12-03T21:11:26Z,"Fikwot FN501 Pro 1TB NVMe SSD - M.2 2280 PCIe Gen3 x4 Internal Solid State Drive with Graphene Cooling Sticker, Up to 3,500MB/s, SLC Cache 3D NAND TLC, Compatible with Laptop & PC Desktop",61.98
2024-12-03T21:11:26Z,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - Up to 140MB/s, C10, U1, Full HD, SD Card - SDSDUNB-128G-GN6IN",17.17
2024-11-30T06:32:54Z,Swarovski Attract Square Stud Pierced Earrings with Clear Crystals on a Rhodium Plated Setting with Butterfly Back Closure,46.18
2024-10-30T00:31:28Z,"ThermoFlask 24 oz Double Wall Vacuum Insulated Stainless Steel 2-Pack of Water Bottles, White/Coral",32.38
2024-09-22T05:16:01Z,DIFFLIFE 40-Piece Tool Set - General Household Hand Tool Kit with Plastic Toolbox Storage Case...,17.51
2024-07-30T23:36:28Z,"LANEIGE Water Bank Hydration Set: Hyaluronic Acid, Barrier-Boosting Hydration, Full Sized, Travel Sized",46.76
2024-04-08T21:29:44Z,"Thermoflask 24oz Stainless Steel Insulated Water Bottles with Straw and Spout Lids, 2-pack, Black/Malachite",26.27
```
