"OrderId","ContractId","DateOfReturn","ReturnAmount","ReturnAmountCurrency","ReturnReason","Resolution"
"113-7306918-2273015","3696e782-8750-4f9d-87df-e5c9fb18b782","2025-01-11T04:50:31Z","8.57","USD","No longer needed/wanted","Refund"
"113-1062317-9255454","45fe72c3-a174-4fcb-8128-44027292e014","2024-12-31T00:09:01Z","5.43","USD","No longer needed/wanted","Refund"
"113-7128801-2978613","664945ac-7a59-4e2c-90af-2250303ceb88","2024-11-24T20:14:28Z","13.69","USD","Refused","Refund"
"113-5403975-0280232","1d702091-b07d-496e-9cc8-7e69ef66165c","2024-10-31T05:59:11Z","32.84","USD","Too large","Refund"
"113-7096780-6460225","82369982-eb95-491a-aafd-990d0b8b2f5d","2024-09-30T07:01:50Z","No Refund","Not Available","Missed estimated delivery date","Exchange"
"113-7162208-3621040","8aa9e541-0f05-4024-a53b-c3fed8745284","2024-09-30T07:00:26Z","No Refund","Not Available","Missed estimated delivery date","Exchange"
"113-7573708-5677808","35c76b2a-df9b-4314-9afa-652180c09f43","2024-05-03T23:59:11Z","16.41","USD","No longer needed/wanted","Refund"
"112-4154569-2901036","5ca32a30-4f0c-4178-8c0a-6b527582fd6a","2024-04-10T18:09:02Z","103.45","USD","Missed estimated delivery date","Refund"
"112-4154569-2901036","5ca32a30-4f0c-4178-8c0a-6b527582fd6a","2024-04-10T18:09:02Z","103.45","USD","Missed estimated delivery date","Refund"
"112-4154569-2901036","5ca32a30-4f0c-4178-8c0a-6b527582fd6a","2024-04-10T18:09:02Z","103.45","USD","Missed estimated delivery date","Refund"
"112-4154569-2901036","5ca32a30-4f0c-4178-8c0a-6b527582fd6a","2024-04-10T18:09:02Z","103.45","USD","Missed estimated delivery date","Refund"
"112-4154569-2901036","5ca32a30-4f0c-4178-8c0a-6b527582fd6a","2024-04-10T18:09:02Z","103.45","USD","Missed estimated delivery date","Refund"
